Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,total_sales
3W,Volvo Group India Pvt Ltd,0,0,31,12,0,0,0,0,0,0,43
3W,3Ev Industries Pvt Ltd,0,0,0,0,0,0,112,390,545,51,1098
2W,3Gb Technology Pvt Ltd,0,0,0,1,0,0,0,0,0,0,1
3W,3Gb Technology Pvt Ltd,0,1,1,0,0,0,0,0,0,0,2
3W,3S Industries Private Limited,0,0,0,0,48,66,43,68,266,578,1069
LMV,3S Industries Private Limited,0,0,0,0,3,1,0,0,0,0,4
3W,A B Excavators & Earthmover Ltd,0,1,0,0,0,0,0,0,0,0,1
3W,A D Agro Works,0,0,2,1,0,0,0,0,0,0,3
3W,A K Autto Electrical,0,1,72,56,42,1,5,3,2,0,182
3W,A K Gupta & Co.,0,0,100,625,438,195,256,433,563,355,2965
3W,A P I Motors Pvt Ltd,0,0,0,2,28,14,20,93,279,146,582
LMV,A R T Welding Works,0,1,0,2,0,0,0,0,0,0,3
3W,A. K. Autto Electrical,0,0,0,0,0,1,0,0,0,0,1
3W,A.J Enterprises,0,0,0,0,0,0,0,0,0,66,66
3W,A.K.Auto Electrical,0,2,8,0,0,0,0,0,0,0,10
3W,A.R. Motor,0,0,0,0,0,0,0,0,0,164,164
3W,A.V.Automotives Pvt Ltd,0,0,33,280,452,256,677,1451,1309,674,5132
2W,A-1 Sureja Industries,0,0,0,0,0,0,0,0,0,2,2
3W,A3T Incorported,0,8,94,85,41,3,17,8,0,0,256
LMV,A3T Incorported,0,0,2,75,0,0,0,0,0,0,77
3W,Aadhya Enterprises,0,3,0,4,6,4,6,516,797,312,1648
LMV,Aadhya Enterprises,0,0,0,0,0,1,0,0,0,0,1
3W,Aaditya Emotors India Pvt Ltd,0,1,471,179,10,0,0,0,0,0,661
LMV,Aaditya Emotors India Pvt Ltd,0,0,2,6,0,0,0,0,0,0,8
3W,Aaditya Garbage Products Pvt Ltd,0,0,0,0,13,0,0,10,34,4,61
LMV,Aaditya Garbage Products Pvt Ltd,0,0,0,0,1,0,0,0,0,0,1
3W,Aahana Commerce Pvt Ltd,0,0,0,0,0,61,202,309,918,1194,2684
3W,Aakk Auto Pvt Ltd,0,0,0,0,0,0,0,0,0,16,16
3W,Aargee Electric,0,0,1,0,0,0,10,13,18,4,46
3W,Aashi India Automobiles Pvt Ltd,0,0,0,0,1,0,0,0,0,0,1
3W,Abhavis Technology (I) Pvt Ltd,0,0,1,0,0,0,0,0,0,0,1
LMV,Abirami Engineering Works,0,0,1,0,0,0,0,0,0,0,1
2W,Abzo Motors Pvt Ltd,0,0,0,0,0,0,0,0,12,48,60
3W,Accretion Power Autos,0,1,21,240,315,111,207,608,598,329,2430
2W,Action Construction Equipment Ltd.,0,1,0,0,0,0,0,0,0,0,1
3W,Action Construction Equipment Ltd.,0,0,4,0,0,0,0,0,0,0,4
LMV,Action Construction Equipment Ltd.,6,1,0,0,0,0,0,0,0,0,7
3W,Adapt Motors Pvt Ltd,0,0,0,0,6,2,1,3,4,1,17
LMV,Adapt Motors Pvt Ltd,0,0,0,0,0,0,0,0,0,1,1
3W,Adidev Technoa Pvt Ltd,0,0,0,0,8,14,34,168,689,927,1840
3W,Aditya Agro Industries,0,2,17,3,0,0,1,0,0,0,23
3W,Aditya Enterprises,0,0,0,0,1,0,5,3,1,0,10
3W,Aditya Sai Industries,0,39,187,176,296,75,53,129,179,152,1286
LMV,Aditya Sai Industries,0,0,2,2,0,0,0,0,0,0,4
3W,Adm Technologies Pvt. Ltd.,0,0,0,0,0,0,0,0,129,151,280
2W,Adris Electric Pvt Ltd,0,0,0,0,0,0,65,226,61,8,360
2W,Aftek Motors India Pvt Ltd,0,0,0,0,0,1,8,186,138,34,367
3W,Agrasen Engineering Works,0,1,0,0,0,0,0,0,0,0,1
3W,Agrawal Renewable Energy Pvt Ltd,0,0,0,0,2,2,1,1,0,2,8
3W,Agro Industries,0,0,1,0,0,0,0,0,0,0,1
LMV,Ahitesham Agro Engineering,0,0,2,0,0,0,0,0,0,0,2
2W,Ajay Engineering And Agricultural Equipment Co.,0,0,0,0,0,0,1,0,0,0,1
3W,Ajay Motors Private Limited,0,0,0,0,0,0,0,33,190,109,332
3W,Akash Agro Industries,0,0,0,0,1,0,0,0,0,0,1
LMV,Akash Trailor,0,0,0,1,0,0,0,0,0,0,1
3W,Akg International,0,0,0,0,0,0,0,0,138,1048,1186
3W,Aksmd Rechargeable Vehicles Pvt Ltd,0,0,0,0,1,0,0,0,0,0,1
3W,Albedo Vision Pvt Ltd,0,0,0,15,6,15,0,14,39,4,93
MMV,All Terrain Crane,0,0,0,0,0,0,0,0,5,20,25
3W,Allentti Motors Pvt Ltd,0,0,0,0,0,0,0,0,59,131,190
3W,Allfine Industries Pvt Ltd,0,2,239,763,1737,1180,2370,5884,10743,6317,29235
LMV,Allfine Industries Pvt Ltd,0,0,0,0,0,0,0,0,8,0,8
3W,Altier Electric Vehicles Pvt Ltd,0,0,0,0,177,308,381,1626,2517,1804,6813
LMV,Altier Electric Vehicles Pvt Ltd,0,0,0,0,0,0,0,0,1,0,1
3W,Altigreen Propulsion Labs Pvt Ltd,0,0,0,0,0,3,144,699,2512,939,4297
LMV,Altigreen Propulsion Labs Pvt Ltd,0,0,0,0,0,0,2,0,7,6,15
2W,Altius Ev Tech Pvt Ltd,0,0,0,0,0,0,0,67,37,14,118
3W,Altius Technologies,0,32,7,0,79,30,29,9,13,7,206
3W,Al-Zahoor  Co,0,6,0,0,0,0,0,0,0,0,6
3W,Aman Automobiles,0,0,69,41,53,22,64,30,14,55,348
3W,Aman Electric Vehicles,0,80,114,69,20,15,63,39,162,327,889
3W,Amar Coach Builders,0,0,1,0,0,0,0,0,0,0,1
3W,Ambika Enterprises,0,0,0,0,0,25,113,92,145,55,430
3W,Ambika Industries,0,0,0,0,427,656,981,1159,1910,1060,6193
LMV,Amman Engineering Company,1,0,0,1,0,0,0,0,0,0,2
2W,Amo Mobility Solutions Pvt Ltd,0,0,0,0,0,0,0,1497,1574,80,3151
2W,Ampere Vehicles Private Limited,0,0,0,0,1196,4522,12470,79857,42903,857,141805
2W,Ampere Vehicles Pvt Ltd,31,0,0,0,6,153,315,2390,8,0,2903
3W,Ampere Vehicles Pvt Ltd,0,0,44,0,0,0,0,0,0,0,44
3W,Amw Motors Limited,0,0,1,0,0,0,0,0,0,0,1
LMV,Anbu Trailers,1,3,0,1,0,0,0,0,0,0,5
2W,Anchi Motorcycle  (Importer: Ecotrinity Automobile,0,0,0,0,0,0,0,6,51,22,79
2W,Anchi Motorcycle (Importer: Evnexus Pvt. Ltd.),0,0,0,0,0,0,0,0,8,3,11
2W,Anchi Motorcycle (Importer: Yed Electric),0,0,0,0,0,0,0,0,61,39,100
2W,Anchi Motorcycle (Importer:Hindustan Ev Motors),0,0,0,0,0,0,0,0,1,0,1
2W,Anchi Motorcycle(Importer:Green Fuel Alternatives),0,0,0,0,0,0,0,0,13,8,21
3W,Anjali Auto Components,0,0,0,0,0,23,11,21,61,22,138
3W,Anjali Enterprises,0,0,2,3,0,0,0,0,0,0,5
3W,Anjali Traders,0,0,0,75,118,122,79,75,74,53,596
LMV,Anjali Traders,0,0,0,1,0,0,0,0,0,0,1
3W,Ankush Auto Deals,0,15,72,505,287,51,111,2,5,0,1048
3W,Anoop Cylinders Pvt Ltd,0,0,0,0,0,0,0,0,0,8,8
LMV,Antony Trailors,1,8,2,0,0,0,0,0,0,0,11
3W,Aparna Agrico,0,0,25,5,0,0,0,0,0,0,30
3W,Aparna Industries,0,10,93,182,190,83,96,86,87,30,857
3W,Api Motors Pvt Ltd,0,0,5,0,0,0,0,0,0,0,5
3W,Apm Auto Sales,0,0,0,78,267,119,221,399,778,395,2257
3W,Apsara Enterprise,0,0,0,153,276,191,418,379,725,685,2827
LMV,Arasan And Co.,0,1,1,0,0,0,0,0,0,0,2
LMV,Arbuda Trailer,1,0,0,0,0,0,0,0,0,0,1
3W,Archit Enterprises,0,0,131,153,251,110,203,564,1077,777,3266
3W,Ard Exim,0,0,0,0,0,14,24,41,61,29,169
LMV,Ard Exim,0,0,0,0,0,0,0,1,0,0,1
3W,Arihant Enterprise,0,0,1,0,0,0,0,0,0,0,1
3W,Arihant Enterprises,0,0,0,12,8,0,0,0,0,0,20
3W,Arman Green Vehicles Pvt Ltd,0,5,195,214,99,41,31,14,0,0,599
3W,Arna Electric Auto Pvt Ltd,0,0,29,331,308,185,373,344,590,76,2236
3W,Arrow Automotive,0,0,1,64,393,825,1276,2782,3958,1925,11224
LMV,Arrow Automotive,0,0,0,0,0,0,1,3,0,0,4
3W,Asav Automotive Pvt Ltd,0,0,0,0,0,0,0,0,0,1,1
3W,Asha Impex,0,0,5,21,2,7,35,61,86,126,343
3W,Ashlesha Power Controls Pvt Ltd,0,0,0,0,0,0,0,0,6,2,8
3W,Ashma-Motors Pvt Ltd,0,0,0,0,0,0,0,0,294,828,1122
3W,Ashok Leyland Ltd,0,0,1,0,0,0,0,0,0,0,1
LMV,Ashok Leyland Ltd,0,1,0,0,0,0,0,0,0,0,1
3W,Ashwa Electric,0,0,2,16,1,4,4,1,0,1,29
3W,Asia Body Builders & Manufacturers,0,0,0,5,0,0,0,0,0,0,5
3W,Aster Automotive Pvt Ltd,0,0,0,7,0,0,0,2,0,0,9
2W,Ather Energy Pvt Ltd,0,0,0,24,2291,3052,15930,51808,104735,58547,236387
3W,Atlas Copco India Ltd,0,0,0,2,0,0,0,0,0,0,2
2W,Atomex E-Motors India Pvt Ltd,0,0,0,0,0,2,17,3,1,0,23
3W,Atr Technosales Private Limited,0,0,4,9,5,0,0,0,0,0,18
3W,Attolent Auto Group Pvt Ltd,0,397,1023,660,492,176,132,456,760,408,4504
3W,Attolent Autogroup Pvt Ltd,35,1299,190,31,2,12,0,0,0,0,1569
3W,Atul Auto Ltd,1,99,219,492,510,438,893,2864,5502,3938,14956
LMV,Atul Auto Ltd,0,0,14,11,0,0,0,2,5,0,32
3W,Atul Greentech Private Limited,0,0,0,0,0,0,0,0,127,308,435
2W,Atumobile Pvt Ltd,0,0,0,0,0,0,0,0,105,22,127
3W,Atut Sangam,0,1,85,336,139,204,431,943,2335,1593,6067
LMV,Audi Ag,0,0,1,0,0,0,43,115,143,100,402
3W,Autocrola India Ltd,0,0,0,1,0,0,0,0,0,0,1
3W,Autoeco Green Energy Pvt Ltd,0,0,0,0,0,0,0,21,578,524,1123
3W,Autohaus Private Limited,0,0,0,206,329,124,326,485,103,2,1575
3W,Autolite (India) Limited,0,0,49,216,571,328,139,64,11,1,1379
3W,Avl Electric Vehicles Pvt Ltd,0,0,0,54,717,517,957,1480,2632,1951,8308
LMV,Avl Electric Vehicles Pvt Ltd,0,0,0,0,1,0,0,0,0,0,1
3W,Avon Cycle Ltd India,0,1,17,4,1,3,13,40,10,0,89
2W,Avon Cycles Ltd,0,0,8,37,1,0,0,0,0,0,46
3W,Avon Cycles Ltd,0,0,71,191,342,366,470,760,784,429,3413
LMV,Avon Cycles Ltd,0,0,0,0,0,1,0,0,0,0,1
3W,Axceed Industries (Opc) Pvt Ltd,0,0,0,0,6,0,0,0,0,0,6
2W,Ayaan Electronic Pvt Ltd,0,0,0,0,0,2,0,132,112,25,271
3W,B24 Roket Ev,0,0,0,0,0,0,0,0,28,663,691
3W,Baba E Rickshaw & C Batteries,0,2,31,6,0,0,0,0,0,0,39
3W,Baba E-Vehicles,0,2,53,132,145,92,39,288,1363,515,2629
3W,Bafna Auto Cars I Pvt.Ltd.,0,0,1,0,0,0,0,0,0,0,1
3W,Baghwan Rikshaw Udyog,0,0,0,0,0,3,7,3,40,25,78
2W,Baili Motor (Importer:A B Motoss Ev Pvt Ltd),0,0,0,0,0,0,0,0,4,3,7
2W,Bajaj Auto Ltd,161,78,43,7,7,1243,4633,25318,71940,73698,177128
3W,Bajaj Auto Ltd,37,58,86,113,21,19,0,0,4574,16461,21369
LMV,Bajaj Auto Ltd,0,0,0,0,0,0,0,0,0,1,1
3W,Bajaj Implements Pvt Ltd,0,0,71,20,0,0,0,0,0,0,91
3W,Bajaj Implements Pvt. Ltd,0,0,83,283,211,70,42,195,947,575,2406
3W,Bajaj Tempo Limited,0,0,0,0,0,0,1,0,0,0,1
3W,Bal Gopal Wheels Pvt Ltd,0,0,21,87,94,31,86,64,105,99,587
LMV,Bal Gopal Wheels Pvt Ltd,0,0,0,0,1,0,0,0,0,0,1
3W,Balaji Trading Company,0,0,0,0,0,0,0,0,7,21,28
LMV,Balamurugan Engineering Works,1,0,0,0,0,0,0,0,0,0,1
3W,Balan Engineering Pvt Ltd,0,0,0,0,0,0,13,105,146,112,376
3W,Bali Auto Industries,0,2,155,295,315,178,237,333,274,159,1948
3W,"Basudeb Engineering, Cuttack",0,0,0,0,1,0,0,0,0,0,1
3W,Battery Rickshaw Sangh,669,1321,30,1,0,0,0,0,0,0,2021
2W,Battre Electric Moblity Pvt Ltd,0,0,0,0,0,0,0,516,4139,1836,6491
3W,Baxy Ltd,0,0,0,0,0,0,0,0,271,1481,1752
3W,Bengal Motors,0,0,0,1,0,0,0,0,0,0,1
2W,Benling India Energy And Technology Pvt Ltd,0,0,0,0,0,567,4758,13130,3005,402,21862
3W,Bentinck Industries Pvt. Ltd.,0,0,13,160,122,77,91,254,382,137,1236
2W,Bentley Motors Limited,0,1,0,0,0,0,0,0,0,0,1
3W,Best Way Agencies Pvt Ltd,0,57,1501,2044,2312,2155,5022,6447,7902,3545,30985
3W,Bestway Agencies Pvt Ltd,1,147,271,11,8,50,179,141,33,0,841
3W,Bestway Banarash,0,0,2,0,0,15,21,12,12,10,72
2W,Bgauss Auto Private Limited,0,0,0,0,0,0,0,1983,11454,10711,24148
3W,Bhadauria Enterprises,0,0,0,0,0,0,6,7,106,81,200
3W,Bharat Manufacturing & Assembling E Riksha,0,0,0,0,0,0,0,0,2,0,2
3W,Bhave Electric Vehicles Pvt Ltd,0,0,1,0,2,122,456,1591,2682,1398,6252
3W,Bhm Industries,0,0,0,0,0,23,456,1028,1814,1377,4698
3W,Big Bull Trader Pvt Ltd,0,0,30,426,565,460,227,307,673,1040,3728
LMV,Big Bull Trader Pvt Ltd,0,0,0,0,0,0,0,0,0,1,1
3W,Bijnor Enterprises,0,0,18,24,10,4,4,52,72,24,208
LMV,Bilal Trailors,2,8,1,4,0,0,0,0,0,0,15
2W,Blix Cycles And E-Vehicles Pvt Ltd,0,0,0,0,0,0,8,45,65,4,122
LMV,Bmw India Pvt Ltd,1,0,0,5,0,0,0,163,1309,591,2069
2W,Booma Innovative Transport Sulutions Pvt Ltd,0,0,0,0,0,0,0,484,207,326,1017
2W,Bounce Electric 1 Pvt Ltd,0,0,0,0,0,0,0,4514,3565,1598,9677
3W,Bright Autozone Pvt Ltd,0,43,608,713,708,413,1708,3702,3695,1853,13443
3W,Bright Metal Works,0,0,0,0,0,9,4,7,31,1,52
2W,Bsa Motors,1,0,0,0,0,0,0,0,0,0,1
3W,Bserail Engineering Pvt Ltd,0,0,0,0,0,0,0,0,0,41,41
3W,Bull Machines Pvt Ltd,0,0,21,3,0,0,0,0,0,0,24
LMV,Byd Auto,0,0,0,0,0,0,0,0,0,2,2
LMV,Byd India Private Limited,0,0,0,0,0,0,2,453,2012,1401,3868
3W,C M Overseas,0,0,0,10,16,17,21,34,50,16,164
3W,Caparo Autotech Limited,0,24,321,44,4,0,0,0,0,0,393
LMV,Caparo Autotech Limited,0,0,1,0,0,0,0,0,0,0,1
3W,Caparo Autotech Ltd,0,9,62,0,0,0,0,0,0,0,71
3W,Capco Industries Pvt Ltd,0,0,0,0,0,0,0,0,0,30,30
LMV,Capco Industries Pvt Ltd,0,0,0,0,0,0,0,0,0,1,1
3W,Carree Yunus Vehicle Pvt Ltd,0,0,0,0,0,0,0,0,3,22,25
3W,Cart India,0,0,0,17,123,99,26,7,109,357,738
3W,Case Equipment Private Ltd,0,1,1,0,0,0,0,0,0,0,2
3W,Caterpillar India Private Limited,0,0,5,0,0,0,0,0,0,0,5
3W,Ceeon India,0,311,536,928,687,263,213,394,874,394,4600
3W,Celletron Motor Works,0,0,0,0,0,6,9,11,0,93,119
3W,Century Motors Pvt Ltd,0,2,2,0,0,0,0,0,0,0,4
3W,Champion Poly Plast,0,492,1744,3005,4215,2741,6672,13091,14877,6654,53491
LMV,Champion Poly Plast,0,0,0,0,0,0,2,0,0,0,2
3W,Chandake-Automobiles Llp,0,0,0,0,0,0,0,0,0,37,37
2W,Chandana Corporation,0,0,0,0,0,0,133,426,501,106,1166
3W,Changzhou Yefend Vehicle Co,0,3,8,0,0,0,0,0,0,0,11
3W,Charuvikram Automobile Pvt Ltd,0,0,0,0,84,56,22,6,6,0,174
3W,Chatelec Vehicles India Ltd,0,0,1,0,0,0,0,0,0,0,1
LMV,Chatelec Vehicles India Ltd,0,0,1,1,0,0,0,0,0,0,2
3W,Chauhan Auto Industries,0,0,0,17,121,86,118,406,571,380,1699
3W,Chehak Batteries,0,46,160,195,80,48,62,223,290,190,1294
2W,Chetak Technology Limited,0,0,0,0,0,0,0,0,4851,4,4855
3W,Chevrolet Sales India Pvt Ltd,0,6,0,0,0,0,0,0,0,0,6
2W,China Haochen (Importer: Adms Marketing),0,0,0,0,0,0,0,0,135,154,289
2W,China Haochen (Importer:Slsr Electro),0,0,0,0,0,0,0,0,0,10,10
3W,Chirag Enterprises,0,0,0,19,4,0,0,0,0,0,23
2W,Chongqing Charming (Importer: Ayaan Electronics).,0,0,0,0,0,0,0,0,0,1,1
2W,Chongqing Yu An Group,0,3,0,0,0,0,0,0,0,0,3
3W,Citadel Enterprises(Opc) Pvt Ltd,0,0,0,0,24,26,28,36,28,8,150
3W,Citygreen Auto & Petro Chemicals (P) Ltd,0,0,132,395,429,292,586,827,930,301,3892
3W,Claas India P Ltd,0,0,0,1,0,0,0,0,0,0,1
3W,Clenergy Innovations Pvt Ltd,0,0,0,0,0,0,0,0,0,1,1
3W,Clh Gaseous Fuel Appl Pvt Ltd,4,157,158,37,11,5,0,0,0,0,372
LMV,Clh Gaseous Fuel Appl Pvt Ltd,0,0,0,1,0,0,0,0,0,0,1
LMV,Cnh Industrial (India) Pvt Ltd,0,1,1,0,0,0,0,0,0,0,2
3W,Continental Engines Pvt Ltd,0,0,57,1,1,11,92,571,2749,425,3907
LMV,Continental Engines Pvt Ltd,0,0,0,0,0,0,0,2,0,0,2
3W,Creative Engineerings,0,0,60,7,21,0,0,0,0,0,88
3W,Cyrus Auto Industries Pvt Ltd,0,0,0,0,2,14,7,24,96,37,180
3W,D S Industries,0,0,0,0,11,29,31,46,32,2,151
3W,D S R Automotives (India) Pvt Ltd,0,0,3,0,0,0,0,0,0,0,3
3W,D.K. Motors,0,0,0,0,0,0,0,0,0,5,5
3W,Daewoo Motors India Ltd,0,0,2,0,0,0,0,0,0,0,2
LMV,Daimler Ag,0,0,0,0,0,2,0,0,0,0,2
3W,Daimler India Commercial Vehicles Pvt. Ltd,0,1,1,0,0,0,0,0,0,0,2
3W,Daksh Industries,0,0,0,0,0,30,1125,3225,5925,2871,13176
3W,Dalian Forklift Co.,0,0,0,1,0,0,0,0,0,0,1
2W,Dao Evtech Private Limited,0,0,0,0,0,0,0,102,283,72,457
3W,Dashmesh Mech Works Pvt Ltd,0,1,3,0,0,0,0,0,0,0,4
3W,Dashmesh Traders,0,0,0,75,149,40,55,83,122,73,597
3W,Dave Exim Pvt Ltd,0,0,567,854,1031,387,285,243,311,120,3798
3W,Dd Auto Pvt Ltd,0,136,274,397,222,62,8,13,2,0,1114
3W,De Eusi Motors Pvt Ltd.,0,0,0,0,119,114,345,720,1563,1048,3909
3W,Deep Drawn Technologies,0,0,4,46,12,3,3,4,12,14,98
3W,Deepti Smart Mobility Pvt Ltd,0,0,0,0,1,0,0,0,0,0,1
3W,Delhi Automobiles Ltd,0,0,1,0,0,0,0,0,0,0,1
3W,Delta Autocorp Llp,0,0,12,330,896,1100,755,1334,2466,1246,8139
3W,Deltek Enterprises Pvt Ltd,0,0,0,192,106,5,0,0,8,21,332
3W,Desmoto Electrics Pvt Ltd,0,0,0,0,0,16,30,1,0,0,47
3W,Dev Motors,0,0,0,0,0,0,0,0,0,287,287
3W,Devam Electric Veh P L,1,7,3,0,0,0,0,0,0,0,11
3W,Devam Electric Vehicles Pvt Ltd,0,0,0,4,0,0,0,0,12,83,99
3W,Dhar In Pvt Ltd,0,0,0,0,0,0,0,0,29,26,55
3W,Dhar International,0,0,0,0,163,140,141,104,34,14,596
LMV,Dharmand Trailers,1,0,0,0,0,0,0,0,0,0,1
3W,Dhriti Enterprises,0,0,0,0,0,0,0,0,0,81,81
3W,Diamond E Vehicles,0,0,0,10,2,0,26,303,604,234,1179
LMV,"Diamond Engg,Ctc",0,0,0,1,0,0,0,0,0,0,1
3W,Diligent Mobility Service Pvt Ltd,0,0,0,0,0,0,0,0,0,1,1
3W,Dilip Chhabria Design Pvt Ltd,0,1,0,0,0,1,0,0,0,0,2
2W,Dilli Electric Auto Pvt Ltd,0,0,0,0,0,0,0,2,0,0,2
3W,Dilli Electric Auto Pvt Ltd,16,1573,2205,3404,3954,2541,5361,13987,25071,11832,69944
LMV,Dilli Electric Auto Pvt Ltd,0,2,1,7,2,0,1,2,5,0,20
3W,Divanshu Automobiles Limited,0,14,129,18,10,3,2,0,0,0,176
3W,Divansu Automobiles Ltd,0,3,50,213,96,27,33,142,145,43,752
3W,Divya Automobiles,0,0,0,0,45,3,0,0,0,0,48
3W,Divya Enterprises,0,0,3,126,355,169,416,744,1026,403,3242
MMV,Divya Industries,1,0,0,0,0,0,0,0,0,0,1
3W,Diwa Green Technology Pvt Ltd,0,0,0,10,6,1,2,0,0,0,19
2W,Dongma Vehicle (Importer: Mercury Metals),0,0,0,0,0,0,0,0,11,1,12
3W,Dongma Vehicle (Importer: Mercury Metals),0,0,0,0,0,0,0,0,0,23,23
3W,Dsf Industries Pvt Ltd,0,0,5,22,72,132,17,14,26,1,289
2W,Dsk Motowheels Pvt Ltd.,1,2,0,0,0,0,0,0,0,0,3
3W,Dsr Ev Mobility Pvt Ltd,0,0,0,0,0,0,0,0,3,27,30
3W,Ducati India Pvt Ltd,0,0,0,1,0,0,0,0,0,0,1
3W,Ducati Motor Holding S.P.A,0,0,4,1,0,0,0,0,0,0,5
3W,Duke Auto India,0,0,0,55,271,259,428,610,934,444,3001
3W,Dukemoto Motors Pvt Ltd,0,0,0,0,11,9,0,0,0,0,20
3W,Durable Flanges Pvt Ltd,0,0,0,1,7,17,0,0,0,0,25
2W,Durga Filters Pvt Ltd,0,0,0,0,0,0,0,0,2,0,2
3W,Dynavolt Technology India Ltd,0,0,0,142,48,2,11,11,0,1,215
3W,Dys Impex Private Limited,0,27,777,473,1150,243,121,421,751,495,4458
3W,Dys Impex Pvt Ltd,1,4,130,2,0,1,0,0,0,0,138
2W,E Royce Motors India Pvt Ltd,0,0,0,0,0,0,0,0,5,0,5
3W,E Royce Motors India Pvt Ltd,0,0,0,0,0,0,448,1381,1296,479,3604
3W,Eagle Auto Pearl Pvt,0,0,0,0,0,1,0,0,0,0,1
2W,E-Ashwa Automotive (Hs 2W) Pvt Ltd,0,0,0,0,0,0,0,0,0,1,1
3W,E-Ashwa Automotive Pvt Ltd,0,0,0,0,3,23,74,129,240,86,555
3W,Ebuzz Mobility Llp,0,0,0,0,0,0,0,1,17,16,34
3W,Eco Dynaamic Equipments,0,0,0,0,0,0,19,47,74,55,195
2W,Eco Fuel Systems (I) Pvt Ltd,0,0,0,0,0,20,280,728,595,127,1750
3W,Eco Smart Vehicles Pvt Ltd,0,0,0,115,58,14,154,453,1245,816,2855
2W,Ecobit International(Importer: Jhev Motors),0,0,0,0,0,0,0,0,0,44,44
3W,Eco-Friendly Electric Vehicle Pvt Ltd,0,0,18,61,147,53,9,29,1,165,483
3W,Ecoyan Electric Motor Vehicles Pvt Ltd,0,0,0,0,7,8,8,4,7,0,34
3W,Ecoyan Electric Motors Vehicle Pvt Ltd,0,0,0,0,2,0,0,0,0,0,2
3W,Eddy Current Controls (I) Ltd,0,1,4,0,0,0,0,0,0,0,5
3W,Edmrc Mannschaft Llp,0,0,0,0,16,29,36,49,89,20,239
3W,Eevee Engineering Pvt Ltd,0,0,0,11,13,5,14,20,1,0,64
3W,Efev Charging Solution Pvt Ltd,0,0,0,0,0,0,0,82,526,170,778
3W,E-Guru Auto Energy,0,0,0,0,0,0,0,12,125,202,339
3W,Eicher Motors Ltd,0,0,1,0,0,0,0,0,0,0,1
LMV,Eicher Motors Ltd,0,3,0,0,0,0,0,0,0,0,3
2W,Eicher Polaris Pvt. Ltd.,0,0,0,0,1,0,0,0,0,0,1
LMV,Eicher Tractors,4,2,4,0,0,0,0,0,0,0,10
2W,Eko Vehicle Private Limited,10,0,8,0,0,0,0,0,0,0,18
3W,Eko Vehicle Private Limited,0,1,0,0,0,0,0,0,0,0,1
3W,Electra International,0,0,39,58,23,19,0,0,7,8,154
2W,Electreca Vehicles,0,0,0,0,2,9,40,93,72,40,256
3W,Electreca Vehicles,0,0,0,4,181,29,9,0,0,0,223
2W,Electric Alliance(Importer: Ellysium Automotives),0,0,0,0,0,0,0,0,43,2,45
3W,Electrotech Transmission Pvt Ltd,0,0,0,0,0,0,0,0,1,0,1
2W,Electrotherm (I) Limited,178,136,26,4,0,0,0,0,0,0,344
3W,Electrotherm (I) Limited,44,763,919,147,10,0,0,0,0,0,1883
LMV,Electrotherm (I) Limited,0,1,11,1,0,0,0,0,0,0,13
